,data,temp
0,-13.133106149652164,120.1
1,-12.727641041543999,120.1
2,-11.523668237218063,140.0
3,-11.880343181156796,140.0
4,-10.137373876098172,160.1
5,-8.66719803099758,175.1
6,-8.568757958184328,175.1
7,-7.337048398886791,200.2
8,-7.481787244531704,200.0
9,-6.173707637518189,225.2
10,-6.426855246880756,225.1
11,-5.490582015419262,250.1
12,-5.72852275654789,250.1
13,-5.022979347711066,275.3
14,-5.333352831364916,275.1
15,-4.725727824243133,300.3
16,-5.129241712220036,300.1
17,-4.439106582130083,325.3
18,-3.8986587023327477,350.2
19,-4.643900994776096,350.1
20,-5.469933364383957,337.1
21,-6.51611460965922,312.0
22,-7.340092541268026,287.0
23,-8.31484274820333,259.0
24,-8.716275592783592,238.1
25,-8.306794415020518,250.1
26,-8.01511233723541,275.1
27,-7.60566316011233,300.1
28,-6.209477521513743,325.1
29,-5.628439297990906,350.1
30,-5.142359962904873,375.1
31,-4.868227886850421,400.2
32,-5.536462747030463,400.1
33,-5.383783684991823,425.2
